seat,swing_count
Bhola-1,1
Bhola-2,2
Bhola-3,1
Bhola-4,1
Barisal-1,2
Barisal-2,1
Barisal-3,0
Barisal-4,0
Barisal-5,0
Barisal-6,2
Jhalokati-1,1
Jhalokati-2,1
Pirojpur-1,0
Pirojpur-2,0
Pirojpur-3,1
Tangail-1,0
Tangail-2,3
Tangail-3,1
Tangail-4,2
Tangail-5,1
Tangail-6,0
Tangail-7,0
Tangail-8,1
Jamalpur-1,2
Jamalpur-2,2
Jamalpur-3,0
Jamalpur-4,3
Jamalpur-5,1
Sherpur-1,0
Sherpur-2,2
Sherpur-3,3
Mymensingh-1,0
Mymensingh-2,2
Mymensingh-3,0
Mymensingh-4,1
Mymensingh-5,1
Mymensingh-6,1
Mymensingh-7,1
Mymensingh-8,2
Mymensingh-9,3
Mymensingh-10,0
Mymensingh-11,1
Netrokona-1,3
Netrokona-2,1
Netrokona-3,1
Netrokona-4,3
Netrokona-5,0
Kishoreganj-1,1
Kishoreganj-2,0
Kishoreganj-3,1
Kishoreganj-4,2
Kishoreganj-5,0
Kishoreganj-6,1
Manikganj-1,1
Manikganj-2,0
Manikganj-3,1
Munshiganj-1,1
Munshiganj-2,1
Munshiganj-3,0
Dhaka-1,1
Dhaka-2,1
Dhaka-3,1
Dhaka-4,3
Dhaka-5,3
Dhaka-6,3
Dhaka-7,1
Dhaka-8,2
Dhaka-9,3
Dhaka-10,3
Dhaka-11,3
Dhaka-12,1
Dhaka-13,0
Dhaka-14,0
Dhaka-15,0
Dhaka-16,0
Dhaka-17,0
Dhaka-18,0
Dhaka-19,0
Dhaka-20,0
Gazipur-1,0
Gazipur-2,1
Gazipur-3,2
Gazipur-4,1
Gazipur-5,0
Narsingdi-1,1
Narsingdi-2,1
Narsingdi-3,1
Narsingdi-4,3
Narsingdi-5,1
Narayanganj-1,3
Narayanganj-2,3
Narayanganj-3,0
Narayanganj-4,3
Narayanganj-5,2
Rajbari-1,2
Rajbari-2,2
Faridpur-1,0
Faridpur-2,1
Faridpur-3,1
Faridpur-4,0
Gopalganj-1,0
Gopalganj-2,0
Gopalganj-3,0
Madaripur-1,0
Madaripur-2,0
Madaripur-3,0
Shariatpur-1,0
Shariatpur-2,0
Shariatpur-3,0
Sunamganj-1,2
Sunamganj-2,0
Sunamganj-3,0
Sunamganj-4,0
Sunamganj-5,2
Sylhet-1,3
Sylhet-2,2
Sylhet-3,1
Sylhet-4,1
Sylhet-5,0
Sylhet-6,0
Moulvibazar-1,2
Moulvibazar-2,0
Moulvibazar-3,1
Moulvibazar-4,0
Habiganj-1,0
Habiganj-2,0
Habiganj-3,0
Habiganj-4,0
Brahmanbaria-1,0
Brahmanbaria-2,0
Brahmanbaria-3,1
Brahmanbaria-4,3
Brahmanbaria-5,0
Brahmanbaria-6,3
Comilla-1,1
Comilla-2,0
Comilla-3,0
Comilla-4,1
Comilla-5,2
Comilla-6,2
Comilla-7,3
Comilla-8,1
Comilla-9,2
Comilla-10,3
Comilla-11,3
Chandpur-1,1
Chandpur-2,3
Chandpur-3,1
Chandpur-4,0
Chandpur-5,3
Feni-1,0
Feni-2,1
Feni-3,0
Noakhali-1,0
Noakhali-2,0
Noakhali-3,0
Noakhali-4,1
Noakhali-5,2
Noakhali-6,0
Lakshmipur-1,0
Lakshmipur-2,0
Lakshmipur-3,0
Lakshmipur-4,0
Chittagong-1,3
Chittagong-2,2
Chittagong-3,2
Chittagong-4,0
Chittagong-5,0
Chittagong-6,0
Chittagong-7,0
Chittagong-8,1
Chittagong-9,3
Chittagong-10,1
Chittagong-11,1
Chittagong-12,1
Chittagong-13,0
Chittagong-14,0
Chittagong-15,0
Chittagong-16,0
Cox's Bazar-1,0
Cox's Bazar-2,0
Cox's Bazar-3,0
Cox's Bazar-4,3
Khagrachari,2
Rangamati,2
Bandarban,0
